City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Khor,RU,2020-08-25 21:13:39,47.89,134.95,63.79,97,18,4.7
70,Lahij,YE,2020-08-25 21:13:39,13.17,44.58,88.07,47,96,4.65
71,Bethel,US,2020-08-25 21:13:39,41.37,-73.41,88.0,65,75,14.99
72,Ambagarh Chauki,IN,2020-08-25 21:13:39,20.78,80.72,78.19,82,100,9.01
73,Luderitz,NA,2020-08-25 21:13:39,-26.65,15.16,56.19,79,0,8.1
74,Busselton,AU,2020-08-25 21:12:45,-33.65,115.33,46.99,76,52,2.21
75,Tecoanapa,MX,2020-08-25 21:13:40,16.52,-98.75,82.02,79,99,15.08
76,Tuktoyaktuk,CA,2020-08-25 21:13:40,69.45,-133.04,46.4,93,90,8.05
77,Katsuura,JP,2020-08-25 21:13:40,35.13,140.3,78.01,88,20,5.82
78,Hobart,AU,2020-08-25 21:12:22,-42.88,147.33,48.2,57,75,10.29
79,San Quintin,MX,2020-08-25 21:13:40,30.48,-115.95,78.17,69,14,15.75
80,Kavieng,PG,2020-08-25 21:13:40,-2.57,150.8,81.73,78,1,11.3
81,Kaitangata,NZ,2020-08-25 21:13:40,-46.28,169.85,44.01,68,51,7.0
82,Faanui,PF,2020-08-25 21:13:41,-16.48,-151.75,76.14,82,34,19.95
83,Fortuna,US,2020-08-25 21:13:04,40.6,-124.16,68.0,77,1,13.87
84,Nantucket,US,2020-08-25 21:13:41,41.28,-70.1,78.8,78,1,13.87
85,Seminole,US,2020-08-25 21:13:41,28.71,-81.21,93.2,52,20,13.87
86,Haines Junction,CA,2020-08-25 21:13:41,60.75,-137.51,57.56,54,95,6.29
87,Thompson,CA,2020-08-25 21:13:41,55.74,-97.86,53.6,76,90,6.93
88,Assiniboia,CA,2020-08-25 21:09:59,49.63,-105.98,85.86,22,30,12.17
89,Saint-Philippe,RE,2020-08-25 21:13:42,-21.36,55.77,68.0,72,75,4.7
90,Esperance,AU,2020-08-25 21:13:42,-33.87,121.9,51.8,100,0,4.7
91,Hasaki,JP,2020-08-25 21:13:42,35.73,140.83,75.2,94,20,4.7
92,Bengkulu,ID,2020-08-25 21:13:42,-3.8,102.27,77.09,80,98,7.94
93,Sagua De Tanamo,CU,2020-08-25 21:13:42,20.58,-75.24,88.12,57,23,7.7
94,Aripuana,BR,2020-08-25 21:13:42,-9.17,-60.63,95.83,24,32,1.95
95,Bar Harbor,US,2020-08-25 21:13:42,44.39,-68.2,69.8,83,75,10.29
96,Castro,BR,2020-08-25 21:11:22,-24.79,-50.01,55.56,81,0,7.2
97,Butaritari,KI,2020-08-25 21:13:43,3.07,172.79,81.39,68,60,3.87
98,Storm Lake,US,2020-08-25 21:13:43,42.64,-95.21,95.0,41,1,14.99
99,Bredasdorp,ZA,2020-08-25 21:13:43,-34.53,20.04,55.4,87,95,2.24
100,Alpena,US,2020-08-25 21:13:43,45.06,-83.43,80.6,47,20,12.75
101,Bulgan,MN,2020-08-25 21:13:43,48.81,103.53,51.19,82,83,2.64
102,San Patricio,MX,2020-08-25 21:13:43,19.22,-104.7,84.2,79,75,18.34
103,Cabo San Lucas,MX,2020-08-25 21:08:55,22.89,-109.91,93.2,52,5,6.93
104,Mahebourg,MU,2020-08-25 21:13:44,-20.41,57.7,68.0,88,75,11.41
105,Port Hardy,CA,2020-08-25 21:13:44,50.7,-127.42,62.6,67,75,10.29
106,Khanpur,PK,2020-08-25 21:13:44,28.65,70.66,85.68,72,91,10.07
107,Beringovskiy,RU,2020-08-25 21:13:44,63.05,179.32,50.13,75,91,12.84
108,Talnakh,RU,2020-08-25 21:13:44,69.49,88.4,51.8,93,91,6.71
109,Lata,PT,2020-08-25 21:13:45,40.16,-8.33,69.01,94,40,10.29
110,Deputatskiy,RU,2020-08-25 21:13:45,69.3,139.9,29.41,96,26,3.06
111,Severo-Kurilsk,RU,2020-08-25 21:13:45,50.68,156.12,53.42,92,90,14.41
112,Cidreira,BR,2020-08-25 21:13:45,-30.18,-50.21,62.89,82,0,23.98
113,Klaksvik,FO,2020-08-25 21:13:45,62.23,-6.59,46.4,81,91,1.12
114,Aklavik,CA,2020-08-25 21:13:45,68.22,-135.01,59.0,72,75,5.82
115,Palmer,US,2020-08-25 21:13:45,42.16,-72.33,82.99,60,32,1.01
116,Banswada,IN,2020-08-25 21:13:46,18.38,77.88,75.78,84,100,4.32
117,Jamestown,US,2020-08-25 21:10:40,42.1,-79.24,77.0,60,40,17.22
118,Ponta Do Sol,PT,2020-08-25 21:13:46,32.67,-17.1,73.4,69,20,20.8
119,Grindavik,IS,2020-08-25 21:13:46,63.84,-22.43,46.4,81,75,6.93
120,Sosva,RU,2020-08-25 21:13:46,59.18,61.86,56.39,95,100,7.65
121,Tocopilla,CL,2020-08-25 21:11:58,-22.09,-70.2,64.18,60,14,8.43
122,Umm Lajj,SA,2020-08-25 21:13:47,25.02,37.27,84.96,54,0,6.26
123,Ancud,CL,2020-08-25 21:13:47,-41.87,-73.82,55.4,76,40,8.05
124,Baker City,US,2020-08-25 21:11:16,44.77,-117.83,80.01,47,40,6.93
125,Merauke,ID,2020-08-25 21:13:47,-8.47,140.33,76.86,83,100,15.3
126,Qaanaaq,GL,2020-08-25 21:13:47,77.48,-69.36,36.46,88,100,11.14
127,Ponazyrevo,RU,2020-08-25 21:13:47,58.36,46.31,56.07,89,100,2.91
128,Parana,AR,2020-08-25 21:13:47,-31.73,-60.52,87.01,44,57,4.0
129,Khatanga,RU,2020-08-25 21:13:48,71.97,102.5,52.02,76,44,3.76
130,Meulaboh,ID,2020-08-25 21:13:48,4.14,96.13,76.01,85,90,3.15
131,Teguldet,RU,2020-08-25 21:13:48,57.31,88.17,52.0,94,100,2.71
132,Saldanha,ZA,2020-08-25 21:13:48,-33.01,17.94,55.4,93,82,3.36
133,Padang,ID,2020-08-25 21:13:48,-0.95,100.35,77.59,73,97,4.03
134,Arraial Do Cabo,BR,2020-08-25 21:13:49,-22.97,-42.03,69.8,64,75,16.11
135,General Escobedo,MX,2020-08-25 21:13:49,25.82,-100.33,89.6,45,75,9.17
136,Bima,ID,2020-08-25 21:13:49,-8.47,118.72,71.26,84,10,5.1
137,Nanortalik,GL,2020-08-25 21:13:49,60.14,-45.24,46.67,82,8,5.73
138,Franklin,US,2020-08-25 21:13:14,39.97,-83.02,90.0,48,75,11.41
139,Hilo,US,2020-08-25 21:13:49,19.73,-155.09,84.2,62,1,6.93
140,Nuuk,GL,2020-08-25 21:13:49,64.18,-51.72,51.8,62,40,5.82
141,Praia Da Vitoria,PT,2020-08-25 21:10:13,38.73,-27.07,78.8,78,40,11.14
142,Carnarvon,AU,2020-08-25 21:13:50,-24.87,113.63,60.8,82,0,14.99
143,Gornopravdinsk,RU,2020-08-25 21:13:50,60.05,69.9,52.16,82,100,4.38
144,Vostok,RU,2020-08-25 21:13:50,46.49,135.88,61.63,100,75,2.28
145,Oriximina,BR,2020-08-25 21:13:50,-1.77,-55.87,92.41,43,64,3.96
146,Elizabeth City,US,2020-08-25 21:13:50,36.29,-76.25,93.2,52,20,12.75
147,Hithadhoo,MV,2020-08-25 21:13:51,-0.6,73.08,81.57,76,100,8.5
148,Pacific Grove,US,2020-08-25 21:11:13,36.62,-121.92,77.0,60,40,9.17
149,Vaini,TO,2020-08-25 21:13:51,-21.2,-175.2,73.4,94,20,3.36
150,Yellowknife,CA,2020-08-25 21:13:51,62.46,-114.35,55.4,100,90,8.05
151,Mar Del Plata,AR,2020-08-25 21:12:01,-38.0,-57.56,57.99,93,90,3.36
152,Olinda,BR,2020-08-25 21:13:51,-8.01,-34.86,78.8,74,40,14.99
153,Sakakah,SA,2020-08-25 21:09:04,29.97,40.21,93.2,13,0,8.05
154,Kyzyl-Suu,KG,2020-08-25 21:13:52,42.34,78.0,58.57,61,73,2.46
155,Coquimbo,CL,2020-08-25 21:13:52,-29.95,-71.34,53.6,81,93,6.93
156,Torbay,CA,2020-08-25 21:13:52,47.67,-52.73,61.0,77,75,12.75
157,Mikun,RU,2020-08-25 21:13:52,62.35,50.08,51.19,97,1,5.61
158,Kuusamo,FI,2020-08-25 21:13:52,65.97,29.18,46.4,81,13,3.36
159,Dzaoudzi,YT,2020-08-25 21:13:52,-12.79,45.27,71.6,88,0,2.24
160,Weligama,LK,2020-08-25 21:13:53,5.97,80.42,78.87,86,100,5.1
161,Kangaatsiaq,GL,2020-08-25 21:13:53,68.31,-53.46,44.91,83,59,8.1
162,Znojmo,CZ,2020-08-25 21:13:53,48.86,16.05,66.99,72,9,3.89
163,San Cristobal,VE,2020-08-25 21:13:53,7.77,-72.22,95.0,34,40,13.87
164,Poole,GB,2020-08-25 21:13:53,50.72,-2.0,63.0,82,75,21.92
165,Lavrentiya,RU,2020-08-25 21:13:54,65.58,-171.0,47.59,88,91,4.88
166,Cabedelo,BR,2020-08-25 21:13:54,-6.98,-34.83,78.8,69,1,12.75
167,Tefe,BR,2020-08-25 21:13:54,-3.35,-64.71,87.8,55,40,5.82
168,Teahupoo,PF,2020-08-25 21:13:54,-17.83,-149.27,80.6,65,75,2.24
169,Nhamunda,BR,2020-08-25 21:13:54,-2.19,-56.71,94.23,38,52,3.44
170,Gazojak,TM,2020-08-25 21:13:54,41.19,61.4,65.88,45,0,11.97
171,Santa Rosa,PH,2020-08-25 21:11:20,14.31,121.11,82.99,83,100,4.7
172,Shimoda,JP,2020-08-25 21:13:54,34.67,138.95,72.0,95,0,1.01
173,Rock Springs,US,2020-08-25 21:13:55,41.59,-109.2,87.8,18,1,9.17
174,Oistins,BB,2020-08-25 21:13:55,13.07,-59.53,86.0,74,40,11.41
175,Pyinmana,MM,2020-08-25 21:13:55,19.73,96.22,74.25,94,100,2.73
176,Groningen,NL,2020-08-25 21:13:55,53.25,6.75,64.99,82,20,14.99
177,Husavik,IS,2020-08-25 21:13:55,66.04,-17.34,46.4,75,20,6.93
178,Victoria,HK,2020-08-25 21:11:31,22.29,114.16,87.01,86,92,7.0
